,date,sugar_eu,sugar_us,sugar_world
394,1992-11-01,0.56998203632,0.47137099103,0.1889
395,1992-12-01,0.61196534503,0.46471383657,0.1797
396,1993-01-01,0.6322,0.4576,0.1817
397,1993-02-01,0.6117,0.4641,0.1887
398,1993-03-01,0.6294,0.4755,0.2341
399,1993-04-01,0.6637,0.4783,0.2458
400,1993-05-01,0.6559,0.4709,0.2608
401,1993-06-01,0.6372,0.4717,0.2291
402,1993-07-01,0.6129,0.4825,0.2134
403,1993-08-01,0.5957,0.4838,0.2059
404,1993-09-01,0.6086,0.4841,0.2103
405,1993-10-01,0.6004,0.4822,0.2269
406,1993-11-01,0.5912,0.4821,0.2231
407,1993-12-01,0.5949,0.4849,0.2319
408,1994-01-01,0.596,0.4851,0.2271
409,1994-02-01,0.5904,0.4835,0.2385
410,1994-03-01,0.5953,0.4839,0.2586
411,1994-04-01,0.592,0.4859,0.2427
412,1994-05-01,0.6001,0.489,0.2553
413,1994-06-01,0.6088,0.495,0.2657
414,1994-07-01,0.6296,0.5007,0.2596
415,1994-08-01,0.6345,0.4828,0.2668
416,1994-09-01,0.6466,0.4802,0.2777
417,1994-10-01,0.6642,0.4745,0.2811
418,1994-11-01,0.6574,0.4756,0.3073
419,1994-12-01,0.6451,0.4919,0.3234
420,1995-01-01,0.6513,0.4995,0.3254
421,1995-02-01,0.6504,0.4998,0.3177
422,1995-03-01,0.6799,0.4952,0.3217
423,1995-04-01,0.7008,0.5023,0.302
424,1995-05-01,0.7066,0.5093,0.2981
425,1995-06-01,0.7024,0.5187,0.3091
426,1995-07-01,0.7048,0.5402,0.2996
427,1995-08-01,0.6937,0.5168,0.2862
428,1995-09-01,0.6883,0.5117,0.2577
429,1995-10-01,0.6978,0.5062,0.2604
430,1995-11-01,0.6953,0.4982,0.2641
431,1995-12-01,0.6845,0.5004,0.2714
432,1996-01-01,0.6865,0.4938,0.2762
433,1996-02-01,0.6892,0.4975,0.2824
434,1996-03-01,0.685,0.4976,0.2846
435,1996-04-01,0.6797,0.498,0.2641
436,1996-05-01,0.6797,0.498,0.2511
437,1996-06-01,0.6808,0.4958,0.2683
438,1996-07-01,0.6969,0.4806,0.2824
439,1996-08-01,0.6766,0.4927,0.2727
440,1996-09-01,0.6808,0.4932,0.2628
441,1996-10-01,0.6923,0.493,0.2452
442,1996-11-01,0.7046,0.4877,0.2363
443,1996-12-01,0.6455,0.4871,0.2368
444,1997-01-01,0.6896,0.4824,0.2357
445,1997-02-01,0.6541,0.4824,0.2383
446,1997-03-01,0.6457,0.4808,0.2449
447,1997-04-01,0.6336,0.4791,0.2491
448,1997-05-01,0.6349,0.4784,0.2447
449,1997-06-01,0.6393,0.4769,0.252
450,1997-07-01,0.6329,0.4859,0.2474
451,1997-08-01,0.599,0.4907,0.2579
452,1997-09-01,0.5828,0.4914,0.2498
453,1997-10-01,0.5944,0.4905,0.2509
454,1997-11-01,0.6149,0.4828,0.2648
455,1997-12-01,0.6056,0.4824,0.2723
456,1998-01-01,0.5957,0.4817,0.254
457,1998-02-01,0.5973,0.4804,0.2363
458,1998-03-01,0.6052,0.4793,0.2169
459,1998-04-01,0.6091,0.4881,0.2134
460,1998-05-01,0.5911,0.4919,0.2035
461,1998-06-01,0.5874,0.4945,0.1786
462,1998-07-01,0.5835,0.4998,0.1901
463,1998-08-01,0.5783,0.4898,0.1882
464,1998-09-01,0.5959,0.4835,0.1594
465,1998-10-01,0.6078,0.4775,0.1645
466,1998-11-01,0.6076,0.4813,0.1777
467,1998-12-01,0.6109,0.4892,0.1781
468,1999-01-01,0.6036,0.4941,0.1788
469,1999-02-01,0.5955,0.4925,0.1504
470,1999-03-01,0.5924,0.4969,0.1329
471,1999-04-01,0.5889,0.4982,0.1195
472,1999-05-01,0.5908,0.4993,0.1263
473,1999-06-01,0.5836,0.4989,0.1332
474,1999-07-01,0.5754,0.4982,0.1186
475,1999-08-01,0.5875,0.4685,0.1263
