CAAV Dataset,,,,,,,,,,,,,,,
Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_M_023,Tearing apart a dollar bill,1,M,2.63,2.36,5.89,2.52,2.29,2.19,3.00,2.54,6.97,2.02,4.77,2.53
3_F_023,Tearing apart a dollar bill,3,F,2.28,1.48,6.91,2.54,1.87,1.20,2.70,1.64,6.35,2.61,7.44,2.39
3_M_023,Tearing apart a dollar bill,3,M,2.56,1.58,5.77,2.73,2.38,1.50,2.73,1.66,6.03,2.61,5.50,2.86
1_F_024,Cutting oneself with a knife,1,F,2.70,1.87,5.70,2.58,2.38,1.99,3.05,1.72,6.88,2.09,4.48,2.50
1_M_024,Cutting oneself with a knife,1,M,2.62,1.71,6.00,2.36,2.35,1.70,2.90,1.71,6.00,2.30,6.00,2.47
3_F_024,Cutting oneself with a knife,3,F,3.04,1.55,5.28,2.52,3.27,1.54,2.81,1.55,5.71,2.51,4.83,2.51
3_M_024,Cutting oneself with a knife,3,M,3.10,1.79,5.71,2.48,2.69,1.42,3.62,2.08,6.04,2.33,5.39,2.62
1_F_025,Coughing blood,1,F,2.47,1.35,5.86,2.35,2.47,1.41,2.46,1.30,6.04,2.40,5.68,2.34
1_M_025,Coughing blood,1,M,2.40,1.66,5.33,2.65,2.33,1.83,2.47,1.50,6.13,2.49,4.52,2.59
3_F_025,Coughing blood,3,F,2.41,1.50,6.38,2.33,2.26,1.44,2.57,1.57,5.65,2.48,7.07,1.98
3_M_025,Coughing blood,3,M,2.38,1.61,5.67,2.74,2.62,1.77,2.15,1.43,6.19,2.41,5.13,2.99
1_F_026,Seeing a pair of broken glasses,1,F,3.27,1.30,3.93,2.43,3.31,1.38,3.23,1.24,3.71,2.41,4.17,2.48
1_M_026,Seeing a pair of broken glasses,1,M,3.19,1.42,4.46,2.33,3.09,1.40,3.31,1.46,4.14,2.52,4.79,2.11
3_F_026,Seeing a pair of broken glasses,3,F,3.28,1.80,4.54,2.57,3.48,2.04,3.05,1.51,5.22,2.35,3.84,2.63
3_M_026,Seeing a pair of broken glasses,3,M,3.70,1.38,4.15,2.53,3.55,1.29,3.87,1.48,4.88,2.57,3.44,2.33
1_F_027,Spotting a snake,1,F,3.13,2.18,7.09,2.44,2.77,1.94,3.50,2.37,7.00,2.38,7.19,2.54
1_M_027,Spotting a snake,1,M,3.10,2.16,6.56,2.71,3.12,2.49,3.08,1.83,7.45,2.25,5.63,2.86
3_F_027,Spotting a snake,3,F,2.84,2.11,6.64,2.36,2.31,1.67,3.50,2.42,6.86,2.55,6.43,2.18
3_M_027,Spotting a snake,3,M,2.95,2.15,6.11,2.66,2.14,1.35,3.84,2.52,6.91,2.45,5.29,2.66
1_F_028,Spotting a mouse ,1,F,3.80,2.10,5.19,2.70,3.26,2.24,4.37,1.81,5.19,2.56,5.19,2.88
1_M_028,Spotting a mouse ,1,M,3.63,1.72,4.97,2.85,3.15,1.62,4.12,1.70,6.23,2.72,3.67,2.38
3_F_028,Spotting a mouse ,3,F,4.38,2.11,5.09,2.45,3.72,1.95,5.19,2.04,5.32,2.58,4.86,2.34
3_M_028,Spotting a mouse ,3,M,3.60,1.95,4.56,2.80,3.24,2.19,4.00,1.60,5.22,2.81,3.87,2.67
1_F_029,Finding a fly on the plate,1,F,2.43,1.91,6.48,2.38,1.90,1.48,3.00,2.19,7.31,2.21,5.61,2.28
1_M_029,Finding a fly on the plate,1,M,2.38,1.69,6.23,2.42,2.03,1.54,2.73,1.80,6.08,2.26,6.37,2.60
3_F_029,Finding a fly on the plate,3,F,2.44,1.43,5.08,2.82,2.12,1.28,2.77,1.53,5.84,2.61,4.30,2.85
3_M_029,Finding a fly on the plate,3,M,2.19,1.55,6.57,1.91,1.91,1.17,2.54,1.88,6.29,2.02,6.86,1.78
1_F_030,Finding worms under a box ,1,F,2.64,1.62,6.21,2.30,1.97,1.18,3.46,1.73,6.79,2.22,5.64,2.28
1_M_030,Finding worms under a box ,1,M,2.75,2.10,5.68,2.78,2.29,2.10,3.26,2.02,6.94,2.47,4.39,2.50
3_F_030,Finding worms under a box ,3,F,3.39,1.67,5.23,2.58,2.77,1.61,4.03,1.50,5.38,2.67,5.07,2.54
3_M_030,Finding worms under a box ,3,M,3.06,2.07,5.11,2.78,2.54,2.28,3.58,1.72,6.13,2.57,4.07,2.64
1_F_031,Buttoning a shirt,1,F,4.40,1.47,2.25,1.69,4.08,1.90,4.73,0.78,2.65,1.87,1.83,1.39
1_M_031,Buttoning a shirt,1,M,5.05,1.38,2.68,1.82,4.91,1.35,5.23,1.42,2.79,1.85,2.57,1.81
3_F_031,Buttoning a shirt,3,F,5.35,1.59,2.35,1.86,5.10,1.64,5.63,1.54,2.72,2.22,1.97,1.33
3_M_031,Buttoning a shirt,3,M,4.82,1.42,2.58,2.34,4.65,1.58,5.00,1.23,2.88,2.63,2.30,2.03
1_F_032,Sharpening a pencil,1,F,5.13,1.74,2.25,1.79,5.10,1.81,5.16,1.71,2.47,1.92,2.03,1.64
1_M_032,Sharpening a pencil,1,M,5.51,1.49,2.34,1.94,5.68,1.51,5.33,1.47,2.62,2.00,2.07,1.88
3_F_032,Sharpening a pencil,3,F,5.08,1.78,1.92,1.44,5.38,2.12,4.77,1.34,2.10,1.66,1.73,1.17
3_M_032,Sharpening a pencil,3,M,5.64,1.25,2.68,2.23,5.66,1.12,5.62,1.42,2.71,2.34,2.64,2.16
1_F_033,Tying shoelaces,1,F,5.03,1.72,2.08,1.66,4.95,1.83,5.11,1.63,2.22,1.66,1.94,1.67
1_M_033,Tying shoelaces,1,M,5.23,1.12,2.42,2.25,5.29,1.24,5.17,0.99,2.31,2.11,2.52,2.41
3_F_033,Tying shoelaces,3,F,5.00,1.51,1.74,1.21,5.08,1.81,4.92,1.16,1.81,1.19,1.67,1.24
3_M_033,Tying shoelaces,3,M,5.29,1.26,2.55,1.95,5.41,1.16,5.15,1.38,2.39,1.55,2.71,2.31
1_F_034,Getting up from a chair,1,F,5.25,1.74,2.44,1.74,4.76,1.73,5.79,1.62,2.56,1.90,2.32,1.58
1_M_034,Getting up from a chair,1,M,5.46,1.36,1.91,1.61,5.32,1.30,5.60,1.43,1.65,1.02,2.15,2.01
3_F_034,Getting up from a chair,3,F,4.73,1.62,1.67,1.35,4.69,1.78,4.77,1.48,1.87,1.67,1.47,0.90
3_M_034,Getting up from a chair,3,M,5.26,1.18,2.30,1.92,5.28,1.28,5.23,1.07,2.54,2.27,2.07,1.49
1_F_035,Setting the table,1,F,5.57,1.51,3.07,2.24,5.66,1.45,5.46,1.61,3.18,2.23,2.96,2.28
1_M_035,Setting the table,1,M,5.45,1.45,2.71,2.10,5.05,1.24,5.89,1.56,2.75,2.23,2.68,1.99
3_F_035,Setting the table,3,F,5.25,1.77,2.60,2.20,5.29,1.81,5.20,1.75,2.62,2.08,2.59,2.36
3_M_035,Setting the table,3,M,4.83,1.75,2.41,2.01,4.58,1.81,5.08,1.67,2.52,2.23,2.30,1.78
1_F_036,Hanging a jacket,1,F,5.53,1.28,1.90,1.54,5.14,0.57,5.95,1.68,1.91,1.67,1.90,1.42
1_M_036,Hanging a jacket,1,M,4.98,1.36,1.79,1.67,4.71,1.40,5.27,1.28,1.50,0.95,2.07,2.13
3_F_036,Hanging a jacket,3,F,4.73,1.69,1.98,1.70,4.58,1.84,4.88,1.56,2.19,1.74,1.77,1.65
3_M_036,Hanging a jacket,3,M,5.29,1.28,2.41,1.99,5.28,1.08,5.31,1.52,2.25,1.78,2.57,2.20
1_F_037,Erasing something with an eraser,1,F,4.63,1.44,2.94,2.22,4.57,1.40,4.68,1.53,3.31,2.51,2.55,1.84
1_M_037,Erasing something with an eraser,1,M,5.11,1.44,2.81,2.34,5.35,1.38,4.87,1.48,2.96,2.41,2.67,2.30
3_F_037,Erasing something with an eraser,3,F,4.33,1.58,2.08,1.64,4.42,1.45,4.23,1.73,2.45,1.88,1.70,1.26
3_M_037,Erasing something with an eraser,3,M,5.17,1.06,2.68,1.66,5.16,1.19,5.19,0.90,3.18,1.79,2.18,1.39
1_F_038,Making a call on the phone,1,F,5.00,1.22,2.25,1.66,5.06,1.36,4.93,1.08,2.42,1.90,2.07,1.41
1_M_038,Making a call on the phone,1,M,4.69,1.26,1.57,1.16,4.62,1.30,4.77,1.24,1.65,1.33,1.50,0.97
3_F_038,Making a call on the phone,3,F,4.81,1.56,2.68,2.17,4.72,1.63,4.92,1.49,3.18,2.48,2.18,1.70
3_M_038,Making a call on the phone,3,M,4.68,1.21,2.46,2.11,4.52,0.81,4.84,1.54,2.72,2.28,2.19,1.92
1_F_039,Closing the bag,1,F,5.36,1.02,2.57,2.03,5.13,0.98,5.65,1.02,2.54,1.97,2.61,2.13
1_M_039,Closing the bag,1,M,5.33,1.53,2.32,1.91,4.76,1.48,5.95,1.35,2.38,1.90,2.26,1.95
3_F_039,Closing the bag,3,F,4.69,1.42,2.00,1.63,4.68,1.54,4.70,1.32,1.96,1.54,2.04,1.74
3_M_039,Closing the bag,3,M,4.83,1.72,1.79,1.51,4.62,1.92,5.04,1.51,2.29,1.92,1.27,0.58
1_F_040,Closing an umbrella,1,F,4.59,1.56,2.45,2.05,4.61,1.33,4.57,1.79,2.15,1.38,2.74,2.54
1_M_040,Closing an umbrella,1,M,5.23,1.50,1.97,1.22,5.27,1.73,5.19,1.27,2.06,1.39,1.87,1.04
3_F_040,Closing an umbrella,3,F,5.64,1.15,2.39,1.87,5.63,1.16,5.65,1.16,2.57,2.06,2.21,1.69
3_M_040,Closing an umbrella,3,M,5.13,1.60,2.08,1.71,5.14,1.80,5.11,1.41,2.09,1.77,2.06,1.67
1_F_041,Putting the cap on a marker,1,F,5.13,1.76,1.80,1.40,5.27,1.80,5.00,1.74,1.74,1.39,1.87,1.43
1_M_041,Putting the cap on a marker,1,M,5.48,1.31,2.32,1.79,5.38,1.18,5.62,1.47,2.68,2.04,1.96,1.45
3_F_041,Putting the cap on a marker,3,F,4.58,1.75,1.68,1.04,4.67,1.74,4.47,1.81,1.88,1.13,1.48,0.93
3_M_041,Putting the cap on a marker,3,M,5.30,1.42,1.47,1.38,5.35,1.45,5.23,1.41,1.62,1.72,1.33,0.96
1_F_042,Folding a chair,1,F,5.36,1.41,1.94,1.71,5.45,1.46,5.27,1.39,2.00,1.55,1.89,1.89
1_M_042,Folding a chair,1,M,5.00,1.31,1.64,1.33,5.27,1.43,4.73,1.15,1.74,1.61,1.53,0.97
3_F_042,Folding a chair,3,F,5.50,1.13,2.23,1.94,5.59,1.04,5.38,1.24,2.50,2.30,1.96,1.48
3_M_042,Folding a chair,3,M,4.75,1.50,1.59,1.36,4.52,1.33,5.00,1.67,1.53,1.11,1.65,1.60
1_F_043,Finger counting,1,F,4.86,1.00,1.88,1.58,4.81,0.90,4.92,1.13,2.07,1.61,1.68,1.56
1_M_043,Finger counting,1,M,4.75,1.72,2.06,1.56,4.86,1.42,4.63,2.03,1.91,1.47,2.23,1.67
3_F_043,Finger counting,3,F,4.62,1.49,1.92,1.57,4.42,1.57,4.83,1.39,1.73,1.46,2.11,1.67
3_M_043,Finger counting,3,M,4.25,1.33,2.08,1.85,4.12,1.51,4.38,1.13,2.26,2.08,1.90,1.58
1_F_044,Drawing a triangle,1,F,5.31,1.48,2.34,2.02,5.29,1.44,5.33,1.54,2.31,2.13,2.37,1.94
1_M_044,Drawing a triangle,1,M,5.00,1.84,2.11,1.57,4.96,1.95,5.04,1.75,2.55,1.89,1.67,0.99
3_F_044,Drawing a triangle,3,F,5.69,1.10,3.07,2.36,5.75,1.05,5.62,1.17,2.96,2.13,3.18,2.60
3_M_044,Drawing a triangle,3,M,5.23,1.56,2.16,1.61,4.67,1.59,5.84,1.30,1.97,1.20,2.35,1.94
1_F_045,Signing on a paper,1,F,5.26,1.25,3.46,2.30,5.16,1.14,5.38,1.39,3.57,2.22,3.36,2.41
1_M_045,Signing on a paper,1,M,5.15,1.46,2.48,2.04,5.05,1.32,5.26,1.63,2.59,2.15,2.35,1.94
3_F_045,Signing on a paper,3,F,5.16,1.16,2.36,1.96,5.10,0.91,5.23,1.38,2.35,2.10,2.37,1.86
3_M_045,Signing on a paper,3,M,4.62,1.42,1.95,1.58,4.46,1.50,4.77,1.34,2.03,1.78,1.87,1.36
1_F_046,Scratching one's hand,1,F,4.60,2.16,2.81,1.85,4.24,2.00,5.00,2.31,3.06,1.92,2.55,1.77
1_M_046,Scratching one's hand,1,M,4.38,1.32,2.53,2.19,4.35,1.43,4.40,1.22,2.19,1.77,2.85,2.52
3_F_046,Scratching one's hand,3,F,4.25,1.57,1.98,1.67,4.23,1.63,4.27,1.54,2.23,1.69,1.73,1.64
3_M_046,Scratching one's hand,3,M,4.60,0.99,2.89,2.34,4.53,1.08,4.69,0.88,2.93,2.32,2.86,2.40
1_F_047,Wearing a bracelet,1,F,5.60,1.09,2.20,1.69,5.78,1.16,5.38,0.98,2.29,1.92,2.11,1.45
1_M_047,Wearing a bracelet,1,M,5.60,1.58,2.00,1.50,5.19,1.40,6.05,1.68,1.91,1.59,2.10,1.42
3_F_047,Wearing a bracelet,3,F,5.36,1.57,1.85,1.52,5.16,1.70,5.57,1.43,1.85,1.29,1.85,1.75
3_M_047,Wearing a bracelet,3,M,4.90,1.58,1.49,1.06,4.96,1.64,4.85,1.54,1.45,0.93,1.53,1.20
1_F_048,Wearing a jacket,1,F,5.34,1.34,2.63,1.93,5.25,1.32,5.46,1.39,2.79,2.06,2.46,1.82
1_M_048,Wearing a jacket,1,M,5.08,1.07,2.16,1.74,5.10,0.94,5.05,1.22,2.38,2.00,1.94,1.44
3_F_048,Wearing a jacket,3,F,4.90,1.49,1.98,1.59,4.90,1.68,4.90,1.30,1.88,1.56,2.07,1.64
3_M_048,Wearing a jacket,3,M,4.85,1.19,1.77,1.32,4.65,1.29,5.04,1.08,1.65,1.25,1.90,1.40
1_F_049,Measuring something with the tape measurer,1,F,5.15,1.17,1.79,1.41,5.13,1.23,5.17,1.12,1.88,1.28,1.70,1.54
1_M_049,Measuring something with the tape measurer,1,M,4.88,1.54,1.61,1.04,4.88,1.56,4.88,1.56,1.84,1.16,1.37,0.85
3_F_049,Measuring something with the tape measurer,3,F,5.21,0.89,2.39,1.63,5.00,0.36,5.46,1.24,2.39,1.79,2.39,1.47
3_M_049,Measuring something with the tape measurer,3,M,4.48,1.80,2.06,1.82,4.48,1.50,4.47,2.12,2.13,2.17,2.00,1.41
1_F_050,Folding a sheet of paper,1,F,4.46,1.70,2.19,1.85,4.45,1.80,4.47,1.61,2.23,1.77,2.15,1.96
1_M_050,Folding a sheet of paper,1,M,4.19,1.74,3.05,2.80,4.19,2.10,4.19,1.33,3.68,3.22,2.40,2.14
3_F_050,Folding a sheet of paper,3,F,4.98,0.89,2.36,1.92,4.91,1.06,5.08,0.63,2.46,1.93,2.25,1.94
